#{"t_start": 1747857828.8649297, "env_id": "LunarLander-v2"}
-23.848981,130,872.257655
-156.134038,158,873.995962
-134.171964,140,875.559944
91.303857,1000,886.500763
-114.232888,114,887.739949
-195.353254,154,889.409735
-78.373915,80,890.312241
-177.690935,91,891.299138
-34.929512,116,892.560932
-98.557195,172,894.42879
-87.568723,139,895.966768
-50.35253,97,897.015876
-186.48625,146,898.59611
-60.141627,77,899.433151
-11.311714,115,900.693271
-81.251025,147,902.286123
-38.648651,99,903.364716
-252.531447,160,905.129725
1.170358,103,906.241193
-102.163059,108,907.407257
-75.697111,58,908.035594
-37.214415,150,909.678072
-82.157194,185,911.687308
9.134059,105,912.831662
-63.698201,99,913.90819
-42.153352,146,915.514377
-59.09814,127,916.896785
-90.732819,183,918.890046
-76.413963,78,919.749392
-30.191502,152,921.390033
12.656681,167,923.194378
-40.516116,78,924.064145
-86.438616,134,925.523693
-32.331351,80,926.398309
-49.572432,140,927.913204
-43.02711,96,928.97899
-89.670858,134,930.444797
-141.555298,124,931.792569
-68.594983,185,933.82812
-66.169457,119,935.124435
-72.874185,122,936.449144
-71.015184,90,937.424823
-174.412725,125,938.804358
-63.104708,107,939.957383
-87.626623,119,941.252945
-42.216793,116,942.508485
34.290964,163,944.308608
-64.757498,160,946.049518
-89.412523,140,947.571849
-74.290859,125,948.959599
-104.752998,88,949.903921
-37.318429,215,952.232136
-31.944086,133,953.691498
50.807042,1000,964.53724
-24.265678,91,965.519928
22.038439,136,966.990076
-38.022516,165,968.796898
-62.980608,173,970.673022
-76.397846,228,973.166819
-180.532963,138,974.660491
-154.952633,125,976.016633
-88.775169,115,977.267497
-86.303793,91,978.27019
-81.059251,121,979.583196
-29.033342,139,981.091994
-37.095886,147,982.699591
-93.724225,92,983.700005
-98.312903,140,985.215918
-259.609563,100,986.303103
-230.927957,118,987.600094
-48.801783,116,988.874499
-49.892653,139,990.393184
-118.750773,121,991.695858
-57.295088,69,992.456609
-57.657557,152,994.118536
-69.860363,121,995.449301
-56.564623,202,997.668497
2.055742,146,999.251122
-184.524451,203,1001.45725
-23.241202,138,1002.987321
-58.183844,159,1004.738067
-92.953181,155,1006.445064
-81.515747,179,1008.440652
-66.833031,125,1009.811898
-51.12524,172,1011.703656
-58.914853,70,1012.503808
-122.486461,134,1013.978205
46.155975,108,1015.153355
-69.65222,161,1016.923778
-101.223538,135,1018.408427
-28.853174,147,1020.019307
-66.732647,161,1021.787223
12.359083,144,1023.365298
-45.048489,134,1024.829042
-42.945991,239,1027.457597
-104.053877,147,1029.055749
-55.780721,137,1030.544975
-85.776027,122,1031.915639
-67.254312,133,1033.386026
-64.946886,77,1034.230303
-89.562031,202,1036.441056
-29.460573,81,1037.339365
-96.371562,155,1039.041496
-30.844901,70,1039.811601
-39.295427,153,1041.497991
-34.605383,135,1042.990593
-35.940891,170,1044.846356
-37.255448,100,1045.941308
-71.048136,110,1047.17971
-94.832722,108,1048.363272
-33.787995,174,1050.273825
-19.864134,149,1051.91919
36.611126,156,1053.631484
-68.463042,197,1055.793655
-175.471761,139,1057.346208
-43.134919,173,1059.239403
-86.744751,82,1060.135291
-50.14416,134,1061.622069
-129.750456,122,1062.955936
-79.5847,104,1064.105126
-62.923787,160,1065.875085
20.204559,107,1067.055154
-23.998556,185,1069.092566
-318.945614,128,1070.502292
-40.330749,153,1072.188351
-57.953921,89,1073.164213
-37.743084,131,1074.605963
-72.543429,124,1076.000747
-213.387088,173,1077.904749
-46.039981,88,1078.868799
-153.828792,198,1081.066808
-201.74336,139,1082.598215
-60.653948,91,1083.596859
-67.243933,90,1084.589581
6.90779,94,1085.646079
-24.017272,125,1087.019635
-31.542393,202,1089.238581
-35.782616,141,1090.802231
-7.836392,150,1092.440472
-42.136844,157,1094.175583
-50.18008,162,1095.9792
-48.259699,152,1097.638423
-22.6665,98,1098.714858
-258.223799,185,1100.76594
14.727643,187,1102.830244
-31.09533,174,1104.778349
-6.377251,156,1106.568866
-26.528769,221,1109.044127
-96.693832,114,1110.33488
-48.860178,118,1111.649684
7.434986,208,1113.975215
-40.346176,134,1115.472075
3.050834,168,1117.309804
-51.77239,109,1118.510632
-68.46876,163,1120.308487
-92.878689,121,1121.629302
-32.123849,84,1122.552524
-53.707378,88,1123.51594
-123.058732,112,1124.770336
-40.888881,89,1125.752575
-62.206649,141,1127.283214
9.127749,142,1128.841446
-16.810419,137,1130.349511
-12.025728,156,1132.036032
-53.241183,72,1132.806743
28.552885,195,1134.963415
-34.636863,106,1136.119019
-83.797829,115,1137.369364
-15.614035,146,1138.967538
-62.790819,76,1139.789496
-54.807935,124,1141.130336
-60.705866,1000,1152.029701
-58.931469,103,1153.155569
-73.482307,98,1154.228755
9.44927,228,1156.723317
-28.931718,163,1158.510767
-336.737914,170,1160.372855
-48.526341,169,1162.220404
-102.75144,189,1164.279651
-68.365592,110,1165.476265
-46.380189,131,1166.911481
14.883629,115,1168.177862
-20.206379,90,1169.164581
-53.243803,122,1170.498189
-7.744317,117,1171.778426
27.073794,129,1173.176099
-39.513728,208,1175.449509
-60.125108,156,1177.16316
-25.759516,140,1178.700822
-63.51757,81,1179.595064
-83.165687,131,1181.041173
-41.980852,133,1182.493174
-5.20364,117,1183.789302
-29.763985,163,1185.576996
-43.682603,175,1187.50586
-52.676401,79,1188.374213
-87.906759,202,1190.627656
146.275812,1000,1201.725333
-314.239084,230,1204.28119
-101.50696,160,1206.040181
-120.450626,105,1207.208036
39.760632,110,1208.43378
-48.539993,126,1209.840702
-20.688359,124,1211.219998
-29.715719,143,1212.84098
-38.965043,144,1214.46254
-30.100575,152,1216.169185
-103.549129,163,1218.009775
-86.828456,254,1220.877446
-78.667,195,1223.063754
-10.463443,88,1224.046806
-31.699126,173,1225.99036
-90.438226,136,1227.516182
22.933936,190,1229.644548
-68.018406,136,1231.171335
-88.586455,201,1233.443093
-20.10944,99,1234.562248
0.018571,238,1237.235815
-7.957262,126,1238.646039
-18.543451,111,1239.898719
-76.979227,185,1241.978923
-56.351539,143,1243.577428
-40.986265,156,1245.32516
-31.179309,211,1247.69701
-87.457384,186,1249.775985
-80.446281,146,1251.417437
-89.992715,146,1253.057772
-84.58535,105,1254.226283
82.238369,1000,1265.401779
93.957443,1000,1276.616802
-57.587794,181,1278.631922
-20.153592,207,1280.940543
-44.062645,87,1281.913798
-235.08964,218,1284.347504
-18.426876,153,1286.068774
-49.3435,104,1287.220986
-85.618827,121,1288.558463
-39.638855,196,1290.751723
-44.205129,219,1293.196393
-58.703413,193,1295.366069
16.448961,142,1296.967748
-52.930773,160,1298.799224
-222.220534,231,1301.38686
-72.649884,67,1302.134705
-56.435623,135,1303.658759
-113.516774,135,1305.173047
-36.648329,189,1307.276024
-71.514273,133,1308.764389
26.325823,215,1311.18669
-98.337904,163,1313.018807
-57.822427,93,1314.061197
-57.992934,214,1316.451149
13.741765,97,1317.5325
-69.827534,194,1319.708835
149.376774,1000,1330.891063
-6.746898,264,1333.85599
15.076676,121,1335.213076
-64.21719,127,1336.624285
-22.311319,130,1338.095748
-59.28146,141,1339.66941
66.860823,1000,1350.877053
-145.890713,174,1352.81287
115.879208,1000,1363.921219
-13.07461,153,1365.618456
-48.157,107,1366.802047
64.319818,1000,1377.979437
-119.271665,121,1379.329796
110.829124,1000,1390.535267
-33.701061,295,1393.851638
-51.459245,123,1395.231055
13.641202,202,1397.500061
104.629208,1000,1408.713101
-103.266584,120,1410.058737
-9.631857,299,1413.415209
-37.892361,205,1415.741131
-44.546278,132,1417.225011
-48.033974,98,1418.336637
-55.928235,171,1420.243787
18.287811,190,1422.350795
-109.037717,66,1423.097167
-35.099193,173,1425.0241
-23.232424,418,1429.699884
-128.956173,406,1434.267905
-68.691625,138,1435.818053
-55.202845,120,1437.162565
-53.323287,166,1439.0271
-60.340412,233,1441.625933
-69.461679,232,1444.233681
-114.500076,183,1446.284279
-43.254394,146,1447.921812
126.307347,1000,1459.150916
-166.121616,172,1461.062347
16.225053,195,1463.234838
-36.05876,110,1464.463607
2.366242,123,1465.830377
-14.806154,109,1467.04298
-25.232011,274,1470.112069
13.604842,104,1471.269323
-58.34977,113,1472.539211
-61.857705,394,1476.92902
-18.282646,337,1480.667974
-138.101726,236,1483.289568
-59.006486,174,1485.242943
-85.014156,192,1487.383779
8.879344,134,1488.884521
11.64295,109,1490.101787
-151.085957,190,1492.222215
23.794004,177,1494.2011
-40.088996,296,1497.514333
-31.243761,316,1501.046487
131.044558,1000,1512.262223
-100.227928,123,1513.640031
-24.463084,194,1515.823375
-65.289791,150,1517.499625
-48.929497,292,1520.769923
17.176448,193,1522.931959
-9.205151,186,1525.014173
-21.439417,225,1527.529865
7.081823,186,1529.625043
-38.808609,242,1532.347363
-43.737793,201,1534.621909
119.883666,1000,1545.81838
3.286402,89,1546.811552
-8.712274,92,1547.847453
-41.437397,256,1550.724706
-207.430021,262,1553.659877
74.736792,1000,1564.869083
-22.613588,125,1566.266102
8.461067,122,1567.645613
-256.043314,250,1570.46645
-112.125737,131,1571.926249
-132.252123,429,1576.73028
122.348488,1000,1587.936727
-35.541798,248,1590.718626
-109.12575,124,1592.105174
-0.047449,151,1593.790635
-10.421535,122,1595.164099
64.93769,1000,1606.36048
-11.526434,136,1607.880091
72.361057,1000,1619.090095
100.416089,1000,1630.310553
-197.739834,165,1632.1746
58.009007,1000,1643.38472
-18.190858,254,1646.232347
51.734963,1000,1657.453429
22.821073,97,1658.541452
119.204095,1000,1669.77812
-281.109224,142,1671.359892
-25.127145,1000,1682.413918
13.964048,125,1683.804923
-10.877797,1000,1694.871318
7.592837,381,1699.080571
-11.127039,337,1702.80926
-36.474757,366,1706.849784
-17.373982,546,1712.948809
-267.079486,262,1715.860473
9.640648,277,1718.912001
78.242526,1000,1729.930863
-28.122358,219,1732.329991
79.179476,1000,1743.294646
-30.611349,234,1745.85376
-49.8353,241,1748.501849
6.760395,340,1752.249108
-55.095871,713,1760.128231
79.955345,1000,1771.188829
-32.332039,429,1775.924099
-171.26304,229,1778.449473
31.133888,156,1780.178823
-60.042735,227,1782.682643
-42.168528,183,1784.69156
-42.626177,437,1789.486229
-28.723133,1000,1800.541203
87.341355,1000,1811.572523
-138.472124,123,1812.924986
5.72713,1000,1823.898594
-164.168101,146,1825.515121
87.443337,1000,1836.527536
25.435288,1000,1847.50605
-59.209523,506,1853.08751
70.492522,1000,1864.151615
7.748182,193,1866.290958
-118.455711,638,1873.378633
32.986318,293,1876.613119
-139.276598,622,1883.501456
58.660822,1000,1894.644034
-211.165551,812,1903.658721
-68.047682,205,1905.923881
80.267584,1000,1917.020526
153.196589,1000,1927.984785
91.449879,1000,1938.987931
-5.426149,226,1941.47901
-21.672963,478,1946.781547
-251.814841,453,1951.800976
-47.592719,1000,1962.876036
0.646779,183,1964.896848
-79.647095,376,1969.047122
-128.693405,1000,1980.949851
8.274344,409,1985.786974
23.105178,1000,1997.67468
41.975885,1000,2009.242803
-23.724447,1000,2020.49264
45.249232,1000,2031.680989
-150.897776,1000,2042.835235
30.724101,188,2045.125226
13.612053,293,2048.825212
18.414219,267,2052.47622
-7.965636,296,2056.461395
-30.051516,230,2059.18992
-92.309095,121,2060.570543
-8.519967,241,2063.487436
-198.218978,219,2065.925043
-61.736001,1000,2077.09778
-366.16887,292,2080.351946
-0.066893,396,2084.760288
22.650609,390,2089.084662
-29.61896,568,2095.405409
-95.299403,1000,2106.526261
-133.703575,917,2116.71842
-101.426467,760,2125.138236
-2.51006,377,2129.309861
-39.38311,1000,2140.396934
46.850608,1000,2151.48538
104.164019,1000,2162.614258
-39.006305,346,2166.450013
-20.851027,1000,2177.594076
-28.941698,167,2179.451998
-68.8355,1000,2190.602915
-228.586707,725,2198.663374
155.600606,1000,2209.802204
40.632886,1000,2220.871156
70.794676,1000,2231.965698
-82.098338,396,2236.350341
-127.122386,1000,2247.481596
28.115564,1000,2258.615466
-330.54218,170,2260.512853
-36.106786,378,2264.727188
-96.08423,1000,2275.884455
2.084188,247,2278.640432
-129.905138,164,2280.468959
91.354819,1000,2291.629497
-77.837306,1000,2302.828886
-15.396322,1000,2314.016152
-45.388243,155,2315.761939
35.83587,1000,2326.954027
-188.046821,716,2334.961117
-152.371441,611,2341.774838
-91.376301,87,2342.74213
-14.946303,1000,2353.915792
-77.275263,1000,2365.073424
-28.364929,1000,2376.273885
142.760784,1000,2387.46861
-79.701969,1000,2398.636247
-146.228396,802,2407.609602
-54.309665,1000,2418.816185
-81.079135,1000,2430.018095
-54.571645,1000,2441.231852
-59.48974,1000,2452.491787
-73.955679,1000,2463.755232
-54.121284,1000,2475.009671
-71.675307,1000,2486.291901
-73.275395,1000,2497.536563
-53.390701,1000,2508.787229
-101.955491,1000,2520.058388
-92.6534,1000,2531.35114
-62.995167,1000,2542.639691
-48.200141,1000,2553.938578
65.891678,1000,2565.269963
-66.77531,1000,2576.520237
-75.186623,1000,2587.901031
-81.83465,1000,2599.210744
-34.050447,1000,2610.506747
-202.258225,166,2612.430755
-87.679167,1000,2623.697584
-97.789682,1000,2635.010557
-62.378349,259,2637.945951
-93.752759,1000,2649.118526
-53.716593,1000,2660.334664
-80.200992,1000,2671.556077
-120.123546,1000,2682.740154
-105.897455,1000,2693.95467
-114.120932,138,2695.506545
-91.833573,1000,2706.793104
-54.88883,1000,2718.100064
-71.265874,1000,2729.417031
-102.389001,1000,2740.716424
-68.473683,903,2751.015537
-34.914149,1000,2762.352081
-80.710942,1000,2773.71397
-63.093541,1000,2785.069354
-75.855403,1000,2796.498926
-57.204355,1000,2807.901107
-91.697161,1000,2819.286324
-61.926757,1000,2830.767864
-121.914296,905,2841.141576
-287.130998,237,2843.836695
-99.317039,1000,2855.213093
-144.791894,1000,2866.633377
-165.238242,448,2871.761388
-89.765724,1000,2883.105212
-113.455519,1000,2894.480922
177.400221,912,2904.806295
-81.181963,222,2907.324779
-38.747508,1000,2918.606266
-97.365164,1000,2929.904243
-141.474691,1000,2941.233155
-85.674208,1000,2952.558995
-75.003761,1000,2963.9159
-51.084819,1000,2975.279755
-84.730803,1000,2986.629045
-80.208737,1000,2997.969655
-101.720455,1000,3009.303163
-87.229385,1000,3020.621659
28.357354,1000,3031.948566
-78.309955,1000,3043.359288
-76.576451,1000,3054.797775
-33.962929,1000,3066.218444
-100.762806,1000,3077.642807
-168.074309,259,3080.602676
-78.811527,1000,3092.139236
-80.227247,1000,3103.726112
-66.615695,1000,3115.356602
-74.618842,1000,3126.96069
-216.725791,986,3138.355279
-56.665847,1000,3149.701249
-199.197754,908,3160.051168
-181.076931,113,3161.329665
-218.617307,184,3163.416926
87.233367,1000,3174.740836
-58.204593,1000,3186.109382
-595.052753,290,3189.40872
-92.41408,1000,3200.764899
-50.7049,1000,3212.07635
-127.307178,178,3214.10444
-116.76901,140,3215.716993
-32.425947,1000,3227.023322
-58.034116,1000,3238.342104
-43.789178,1000,3249.711889
-66.970526,1000,3261.15908
-25.947511,1000,3272.651202
-84.013057,1000,3284.135141
-78.974541,1000,3295.609943
-91.501839,1000,3307.059577
-27.83061,1000,3318.588463
-139.72345,794,3327.732119
-90.801107,1000,3339.2528
-63.372909,1000,3350.818714
-69.858676,1000,3362.627294
-44.197388,1000,3374.457844
-50.707384,1000,3386.247418
-70.937157,1000,3398.097555
-91.716647,1000,3409.962642
-69.214005,1000,3421.851465
-72.585287,1000,3433.722965
-64.830675,1000,3445.576728
-42.493349,1000,3457.487064
-104.754615,1000,3469.397301
-42.990441,1000,3481.330843
-81.702568,1000,3493.221286
-115.140863,1000,3505.19574
-35.8568,1000,3517.218263
-70.291758,1000,3529.30475
-80.03596,1000,3541.409904
-51.953558,1000,3553.532695
90.418817,1000,3565.400521
-138.579574,143,3567.087693
-303.270725,823,3576.754077
-451.268975,130,3578.276326
-89.193656,1000,3589.950796
-675.480484,933,3600.825768
-106.176631,1000,3612.477859
-63.523158,162,3614.360261
-49.190497,1000,3625.932479
-48.277016,1000,3637.576565
-53.742721,1000,3649.235787
-63.163631,1000,3660.870353
-540.755806,95,3661.977706
4.053832,1000,3673.61376
-117.274168,1000,3685.245668
-66.84097,1000,3696.881858
-34.010512,1000,3708.542754
-66.901406,1000,3720.217535
-178.788646,220,3722.787407
-66.956843,1000,3734.420416
-31.262127,1000,3746.047588
-43.953556,1000,3757.709126
-83.439702,1000,3769.429765
-30.809621,1000,3781.152869
-45.317789,1000,3792.719393
-156.319487,514,3798.679999
-271.080327,240,3801.490514
-20.785057,1000,3813.093839
-212.477492,307,3816.697287
-59.344895,1000,3828.260038
-42.971107,1000,3839.855846
-84.472498,1000,3851.473412
-126.372697,1000,3863.238115
-125.629654,262,3866.281946
-81.91484,1000,3877.752824
-121.963602,1000,3889.288303
-60.457519,1000,3900.795272
-49.143423,1000,3912.322226
-105.359583,1000,3923.924723
-208.950533,256,3926.874947
-88.664554,798,3936.014008
-61.002942,1000,3947.385904
-68.071444,1000,3958.829852
-93.212267,1000,3970.296088
-105.771915,1000,3981.835876
-86.218282,1000,3993.36689
-21.091106,1000,4004.922358
-67.39605,137,4006.514329
-66.219934,1000,4017.948892
-275.417953,192,4020.136149
-127.272135,1000,4031.666554
-15.185743,288,4034.99505
-51.869315,1000,4046.560284
-64.600297,1000,4058.027732
-53.218163,1000,4069.503999
-20.512334,1000,4081.03318
-498.905677,195,4083.287476
-76.983135,1000,4094.873231
-111.378493,1000,4106.418973
-69.482803,1000,4117.976706
-78.249804,1000,4129.573792
-82.319175,1000,4141.136464
-77.934406,1000,4152.801812
-190.109843,669,4160.691671
-230.894662,325,4164.49831
-466.96183,456,4169.843398
-125.99881,1000,4181.518137
-41.784882,1000,4193.282604
-232.476297,745,4202.011983
-18.463095,1000,4213.761921
-188.68451,964,4225.144945
-45.446387,1000,4236.948548
-91.502107,1000,4248.753629
-75.529347,232,4251.501777
-144.532905,641,4259.018322
-115.286403,519,4265.100887
-78.829124,1000,4276.841119
-108.78367,1000,4288.593398
-50.680979,1000,4300.404051
-78.066076,271,4303.597719
-105.095829,1000,4315.286842
-172.317408,668,4323.099129
-207.91949,730,4331.682456
-74.957305,1000,4343.457674
-54.669422,1000,4355.279054
-108.160864,1000,4367.200863
-26.758176,1000,4379.180742
-103.238285,1000,4391.042043
-57.5925,1000,4402.899585
-83.588935,1000,4414.939226
-72.655089,1000,4426.963159
-77.03431,1000,4438.965029
-107.807421,232,4441.751425
-72.888257,1000,4453.826598
-55.987712,1000,4465.969646
-56.325124,1000,4478.071278
-453.145424,185,4480.293957
-105.139474,1000,4492.231208
-93.30569,1000,4504.291831
207.214715,833,4514.293545
-79.668193,1000,4526.173975
-97.386466,1000,4538.120118
-146.218348,504,4544.151886
-39.916063,1000,4556.025847
-141.145302,184,4558.211351
163.291895,917,4569.050045
-67.81157,1000,4580.750115
-104.502845,1000,4592.480704
-53.52414,1000,4604.25897
-73.108469,1000,4616.000706
-7.766864,1000,4627.782563
-73.956211,1000,4639.580209
-111.516223,1000,4651.370022
-107.138926,1000,4663.18149
-87.244534,1000,4675.066067
-45.699521,1000,4686.931298
-621.98305,113,4688.267643
-22.137397,1000,4700.068127
-62.807808,1000,4711.889846
-75.6544,1000,4723.732641
-69.802137,1000,4735.655313
-37.375063,1000,4747.59342
-255.039805,115,4748.975767
-60.77609,1000,4761.105362
-75.038558,1000,4773.376176
-200.605,87,4774.436271
-66.060483,1000,4786.467383
-69.396644,1000,4798.397686
-23.34726,1000,4810.366508
-67.516708,1000,4822.368762
-27.506321,1000,4834.255817
-94.778756,1000,4846.139718
150.472625,819,4855.85911
-52.472207,1000,4867.675699
-77.688585,1000,4879.444736
-3.52978,1000,4891.262396
-56.124742,1000,4903.135411
-33.028094,1000,4914.928545
-1461.234025,381,4919.391837
-241.38331,1000,4931.054047
-192.37883,59,4931.745037
-131.693135,1000,4943.479707
-126.317498,1000,4955.166987
-2.954819,1000,4966.883951
-32.6615,1000,4978.613151
-71.902492,1000,4990.409552
-55.377589,1000,5002.195143
-53.260801,1000,5013.898292
-83.210992,1000,5025.664309
-182.569817,894,5036.244872
-214.475779,60,5036.958138
-131.344873,75,5037.837892
-57.171275,1000,5049.571251
-43.618875,1000,5061.380242
-34.718504,1000,5073.154304
-114.24737,190,5075.396565
-21.501651,1000,5087.191256
-41.934718,1000,5098.932654
-56.713557,1000,5110.685276
-109.310602,1000,5122.520334
-85.906646,1000,5134.374743
-213.190642,1000,5146.224816
-48.013249,1000,5158.052601
-29.043644,1000,5169.869227
-45.08879,1000,5181.710223
-52.367559,1000,5193.548633
-115.320553,1000,5205.34263
-49.443844,551,5211.856551
-57.811348,1000,5223.656536
-70.154532,1000,5235.485275
-66.540843,586,5242.441668
-38.102776,1000,5254.243751
-35.301144,1000,5265.985225
-61.794176,1000,5277.768039
-96.578573,1000,5289.635115
-356.1878,449,5294.96093
-109.177574,1000,5306.72064
-14.854255,1000,5318.531783
-64.63412,1000,5330.294622
-77.407922,1000,5342.13633
-20.208521,1000,5354.008527
-80.054041,1000,5365.897317
-50.382007,1000,5377.768196
-372.590995,138,5379.42503
-78.30197,1000,5391.24224
-2.786805,1000,5403.144914
84.738808,1000,5414.996689
2.881668,1000,5426.752311
-143.886578,1000,5438.552007
-64.930766,1000,5450.339047
71.197637,201,5452.706559
-60.886215,1000,5464.503579
-76.710016,1000,5476.324795
-111.471989,1000,5488.142661
-83.329506,1000,5499.95942
-84.918771,1000,5511.854678
-21.430673,1000,5523.714257
-18.565064,1000,5535.524473
-45.982605,1000,5547.321422
-113.279263,1000,5559.125811
-29.866268,1000,5570.896533
-35.659802,1000,5582.684507
-77.914043,1000,5594.542443
-37.481859,1000,5606.466216
2.548446,111,5607.790339
-60.712986,1000,5619.869385
